PCID	Name	Manufacturer	URL	Source	CompositionInfo	ManufacturerInfo	ImportantInfo	ObservationsInitial	Oil?	Oil2?	ObservationsColourTranslucency	Opacity	Resistance	Stringiness	ObservationsGrinding	Details	Shape	Scratching	Smoothness	Impasto	Grittiness	ObservationsApplication	ColourIntensity	Glossiness	HidingPower	TintingStrength	ObservationsMixingLW	ObservationsApplicationLW	ObservationsDrying	DryingSpeed	DryOn	ObservationsWrinkling	HistoricalReferences	OtherPigmentCheckers	PigmentSampled		
1B4	Lead white	Stack process lead white from Natural Pigments (powder)	https://www.naturalpigments.com/stack-process-white-lead-dutch-method-pigment.html	TAH	Analysed by Luc Meegens (scientific researcher at the RCE): “The Rublev lead white is almost pure hydrocerussite (Pb3(CO3)2(OH)2) and not as the said on their web site “70% of lead carbonate and 30% of lead hydroxide. It contains another minor phase (a few percent) which I could not identify.”	"Rublev Colours Stack Flake White is made in small amounts according to sixteenth century Dutch method, differing little to the ""stack"" process of history. It is basic carbonate of lead and usually contains about 70% of lead carbonate and 30% of lead hydroxide. This grade of white lead is composed of the actual flakes that fall off the corroded lead sheets and the white lead that is mechanically removed. It is washed and ground ready for use by the artist. Stack process white lead is ground to about the same granularity typically found in old masters' paintings. This pigment is available as small chunks or pieces that are easily broken and ground in the paint vehicle or in water. We recommend first crushing the pieces in a mortar with a pestle, adding a small amount of vehicle to reduce dust, and then scrape the mixture onto a flat surface to grind further with a muller."	"Handle with caution, especially as it is a powder!  Info from Annelies van Loon 2021: ""Voor een MAXRF test set hebben we ook Stack process lead white van Natural Pigments gebruikt, en met XRPD gemeten: c.98% hydrocerussiet en c.2% cerussiet."""		10	1	rather opaque	4	1	1		5	4	5	5	4	1	very smooth	NA	4	4	NA	NA	NA	NA	painted out on 06-08-18					Y		
1C5	Gypsum			Mauritshuis	CaSO4		"Bottle ""Gips"" in the Mauritshuis atelier"	Very fine powder but without aggregates	35	2	Light beige when wet	4	5	1	"Even adding quite a lot of oil (30 drops), it remains almost a cookie dough consistency, with agglomerates but smooth particles. Using a muller only seems to push the mixture around instead of actually grinding it. It seems highly resistent against mixing with oil and becomes more of a paste than a real paint. Had to apply with the pallette knife"	n/a	n/a	n/a	1	1	5	"Basically impossible to paint with, had to be pushed or 'plamuurd' onto the panel as it was more a thick paste than actual paint"	2	1	2	1	Becomes much less like a paste and more like a paint but still large agglomerations present	Actually applicable by brush now			"Dry but slightly ""mushy"" on 04-12-2018"	"Cream-beige colour, slightly lighter than 1C6"			Y		
1C6	Champagne chalk	58000	https://shop.kremerpigments.com/en/fillers-und-building-materials/colorless-und-colored-mineral-fillers/carbonated-chalk-marble-and-others/5514/chalk-from-champagne		CaCO3	"Natural, fine calcium carbonate in powder form, prepared from the pure, microcrystalline chalk from champagne."	"Bottle ""Champgne krijt Kremer 28-10-13    ML"""	Very large agglomerations	9	0.4	Looks quite opaque when grinding. Colour is a really warm brownish-beige	3	1	5	"Instantly forms a smooth and sticky paste, made double amount due to the little oil being added producing very little paint. There seems to be a certain tipping point where adding one drop more makes the paint much more fluid and less sticky"	2	5	5	1	5	1	"Incredibly difficult to get a thick, smooth layer. Details are difficult due to the stringiness. Very good impasto"	2	3	1	2	not much changed	Easier to apply thickly and more smooth			"Dry but slightly ""mushy"" on 04-12-2018"	"Cream-beige colour, slightly darker than 1C5"			Y		
2A1	Lac dye (from insect)	36020	https://www.kremer-pigmente.com/en/dyes-und-vegetable-color-paints/natural-organic-dyes-und-vegetable-color-paints/554/lac-dye?number=36020	TAH	"Indian Lake, red, made from Coccus Lacta secretion"	"Laccaic acid. Natural Red 25, C.I. 75450; CAS 60687-93-6"		"red towards orange, lumpy"	19	0.4	deep but matte red	5	1	1	"you hear a little bit of ' crunch', grinding goes very fast"	5	1	4	2	2	4	looks quite dry on the panel but very wet and smooth on the glass plate	4	2	3	3	"easy to mix, colour looks similar to Kremer cochineal"	"Is a rather brownish red on the panel when compared to on the glass plate, less glossy than without lead white but more opaque"			"Not dry, can be wiped away with finger"	Uneven gloss		HSI / CHF	Y		
2A2	Lac dye (from insect) HM	De Mayerne		TAH		"[recipe from logbook Benjam van Enter, corresponds to recipe in 'Natural Colorants' book by Kirby et al., p. 102]: 8 g grinded Stick lac was soaked 3 days in demineralized water, and then sieved through a linnen cloth. The dye was the heated to 80 degrees Celsius. It smelled like hot milk.  Potassium carbonate was added. First 200 mL of 1 mM aqueous solution was tried, and failed (more info later on), and then 200mL 0.1M solution was used (which worked).  The 0.1M solution needed to be heated to dissolve. The whole solution was added to the heated stick lac solution. The mixture was not allowed to cool down below 50 degrees. 10 g Alum was dissolved in 80 mL of demineralized water. This was added dropwise to the mixture and effervescence occurred (CO2 was a by-product), and the pigment precipitated.  "		"flaky, looks similar to home made cohinil c3"	14	1.2	"translucent, obergine "	1	4	1	"takes a long time to grind, slow improvements "	4		4	4	1	1	"very easy to apply, no gritty ness very smooth surface"	4	2	1	5	"keeps color, became more opaque"	good hiding strenght 			"Not dry, can be wiped away with finger"				N		
2A3	Madder I	Made in TAH course with Maarten van Bommel (2018)		TAH	373901 [wrong number?]	"[presumably this recipe, from log book Tim Greening] Put 5 g coarsely-ground madder root in a polyester netting bag large enough to allow the plant material to move freely and soak overnight (or 1 hour) with 150 ml water in a 250 ml beaker. After soaking, heat the solution up to 70C and extract the dye for 30 min. Remove the bag and filter the solution hot using a glass funnel and folded filters. Meanwhile make up a solution of 0.94 g potassium carbonate in 15 ml water and add that to the dye solution. Reheat the solution to 70-80C. Next dissolve 2.5 g potash alum in 30ml water (this will need to be heated) and add it gradually to the warm dyestuff solution with constant stirring until the is no further effervescence: the pH at this point should be 6-7 (you may not need all the alum solution). Leave the precipitate to settle overnight. Next the pigment is filtered (or centrifuged) and washed with demineralized water until the filtrate is clear and no further colour comes off. Allow the filtrate to dry in a desiccator."		"gritty, fibres of the paper present grey brownish red. very gainy, all grains same size almost looks like porous stone/ coarse sand sand"	25	1.1	"looks similar to lac dye, colour resonably intense. with oil it looks like 'basterdsuiker' and used coffee"	1	2	1	"hard to disperse the grains. feels gritty first, very smooth later, as if the grains are disolved like sugar. "	3	3	3	1	1	4	similar to the lac dye in colour 	4	3	2	1	"improves properties, more creamy, "	"easier to apply, easier to get smooth surface hidingpower improved "			"Not dry, can be wiped away with finger. Even less dry than the other tests "	Gritty and clumpy around particles		HSI	Y. TAH stash empty		
2A4	Madder VdK	Verfmolen de Kat	https://www.verfmolendekat.com/en/madder-lake.html	TAH		History and application: 16th century. A vegetable colourant named after madder plant (Rubia tinctorum). Fairly transparent and light fast. Suitable for varnishing. Cannot be mixed with lime products.			23	0.8	Blood red	2	3	2	Makes no sound from grinding. Hard to raise the muller but not very stringy	4	3	4	1	2	2	"Not gritty but there's a lot of agglomeration. Feels very smooth, flows easliy off the brush"	3	2	2	2	"It's easy to mix. Better consistency, more buttery and thick. Antique pink colour"	Easier to make a smooth surface 	Much more opaque		"Not dry, can be wiped away with finger"	Glossy where thickest			"Y, assuming this is NR25"		
2A5	Madder [applied 11-12-20]	37202		Indra Kneepkens		"Madder lake, genuine. made from natural roots, 63 µ"	applied 11-12-20																											HSI			
2B1	Cinnabar	10610	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/73/natural-cinnabar-monte-amiata?number=10610	TAH	mercuric sulphide	"< 63 µ, mercuric sulphide. Natural Cinnabar Monte Amiata from Tuscany, Italy. Natural mineral pigment, mercuric sulphide. Pigment Red 106, C.I. 77766 "	"Toxic, wear gloves and handle carefully"	"Bright colour, powdery "	15	0.5	"Less bright colour when oil is added, very smooth in oil"	5	2	2	Not grainy at all when grinding	3	3	3	4	1	1	"Difficult to make a gradation, very thick and opaque paint"	5	4	4	4	"Easy mixing, becomes salmon coloured"	Even more opaque	Very smooth surface	- painted out 11th of april	"hardly sticky on 22nd of may, but hard to test  due to touching with gloves due to toxitcity.  "	more matte		HSI 10620 / C2RMF 10620	Y		
2B2	Vermilion	42000	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/1372/vermilion?number=42000	TAH	mercuric sulphide (artificial)	"mercuric sulphide, light, from China. Artificial mineral pigment, based on mercuric sulphide. Pigment Red 106, C.I. 77766"	"6 ml of pigment made (75 drops, 2.8 ml) in table normalised to 2 ml pigment"	"Dry pigment is fine but rather sticky, no real lump formation"	25	0.9	"opaque, bright red"	5	5	5		3	3	3	3	4	1	"Difficult to make a gradation, very thick, sticky and opaque paint"	4	3	4	2	"Easy mixing, paint becomes even smoother"	"slightly easier to apply, even more opaque"		-painted out 11th of april	"hardly sticky on 22nd of may, but hard to test  due to touching with gloves due to toxitcity.  "	more matte		HSI	Y		
2B3	Minium (red lead)	42500	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/1380/red-lead-minium?number=42500	TAH	red lead	"Pb3O4, C.I. Pigment Red 105"	6 ml of pigment made (50 drops) in table normalised to 2 ml pigment	"Bright orange red, fine powder, slightly lumpy, "	17		"opaque, bright red orange"	5	4	3	very smooth	4	5	4	3	3	1	quite easy to make a gradiation	5	4	5	5	no difference	similar to only minium		-painted out 11th of april	"hardly sticky on 22nd of may, but hard to test  due to touching with gloves due to toxitcity.  "	"more matte and wrinkly in the unmixed shape.  20-08-18: when tape is being peeled off, the edges of the square peel off too, as if the paint is rubbery"		HSI	Y		
2C1	Cochineal (homemade)	Made in TAH course with Maarten van Bommel (2018)	-	TAH		"Cochineal precipitated on tin (chloride) [from log book Marélise Pollard]: Cochineal lake recipe 2 (code: C-SN) Grind 5 g cochineal to a powder and add to about 150 ml water in a 250 ml beaker; add 0.032g potash alum (KAl(SO4)2·12H2O). Bring to the boil and allow to boil for 5 minutes, then take off the heat, allow to cool to 50 °C, then filter (you can do this through the polyester netting or folded filters). Keep the red solution at 50°C. Make up a saturated solution of tin(IV) chloride (SnCl4) in demineralized water (10 g in 20 ml water should be ample); this must be made immediately before it is needed as it hydrolyses rapidly to give the insoluble white oxide. Using a disposable pipette, add the solution of tin(IV) chloride to precipitate the pigment (1.5 ml). (Note that, in all versions of this recipe, the amount of tin solution to add is not specified. Any excess tin(IV) oxide formed during the reaction will simply act as an extender). Next the pigment is filtered and washed with demineralized water until the filtrate is clear and no further colour comes off. Allow precipitate to dry in desiccators."	"2C1, Only 0.237 g"	Very fine and dark purple-red	7		"Dark red, red wine coloured. Fairly translucent"	2	3	1	"Takes a while, keeps making a sound"	5	4	2	2	2	2	Somewhat sticky but flows well	4	5	1	4		"Thicker paint, not really easier to paint with, opacity increases somewhat"		painted out 17th of april	Not completely dry: can be scraped away with fingernail	18-08-18: glaze spread undder tape			N		
2C2	Cochineal Kremer	42100	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/1375/carmine-naccarat?number=42100		"carmine naccarat, made of cochineal"	"Cochineal precipitated on aluminium. Aluminium lake of carminic acid, C22H2OO13. CAS No. 1390-65-4, EINECS 215-724-4"		"Bright red, raspberry"	22	1.3	dark purplish red not transluent dark cherry very glossy	4	3	3	"bit crunchy, but no a lot"	3	2	2	3	2	1	thickness makes a big difference: thickness/amount of layers makes	5	4	4		"takes a wahile before it mixes, turns pin, very smooth very opaque. stays bit marbled."	"smoother than without ledwhitevery opaque but whith thin layer still translucent thin application also shows the brush strokes. good concistency of paint, very easy to work with. seem a bit thicker than the original paint."			Dry	Particles protruding through smooth layer 18-08-18: glaze spread undder tape			Y		
2C3	Cochineal (homemade)	Made in TAH course with Maarten van Bommel (2018)	-	TAH		"Cochineal precipitated on potash alum and potassium carbonate: [recipe described by Ben van Enter] 0.12 g cochineal was grinded to a powder. 3 g potash alum was dissolved in 150 mL demi water. Cochineal was added and the solution boiled for 20 minutes. The purple solution was filtered, and then warmed to 50 degrees C. 0.3 M potassium carbonate was added dropwise, until no effervescence occurred, and a pH of 6-7 was reached. The precipitate was washed and let to sit overnight. The top layer (supernatant) was poured off. More water was added to wash the precipitate. This is done over a period of days until the supernatant was colourless. The precipitate was then filtered and dried over a few days. "	MvB Cocineal lake recipe 1 (code: C-Al-Pot)	Intense crocus-purple	23		"Gives a nice colour to the oil very fast, very intense, dark purple"	2	3	1	"Very coarse, very lumpy, grains are gone quite fast"	5	3	2	5	1	1	"Not sticky at all, hard to get thick, quite streaky"	5	4	1	4	Paint gets thicker	Paint gets more opaque		painted out 22th of may	Still very wet				Y. TAH stash empty		
2C5	Brazilwood Dark	Made in TAH course with Maarten van Bommel (2018)	-	TAH	"Fahed and Tim separated the decant into two separate batches, which turned into “brazilwood light” and “brazilwood dark” pigment. A significant amount of the brazilwood dark, a richly coloured pigment was recovered and put on the pigment checker. "	"Brazilwood lake 1 (code: Br-Al-pot): Put 5 g brazilwood shavings (note: wood shavings) in a polyester netting bag and mix it with 150 ml distilled water; bring to the boil slowly and boil gently until the volume of liquid is reduced to about 80–100 ml. Filter off the brownish solution (a Whatman Grade 1 filter paper should be adequate or use folded filters (Whatman 597 ½)), replace on the hot plate and add 3 g potash alum, heating the solution to 50 °C so that it dissolves; the solution will become bright red. Keep the temperature at 50 °C. Add 0.3 M potassium carbonate (K2CO3) solution very gradually to the brazilwood-alum mixture slowly, with stirring, until no further effervescence is observed; the pH should be around 6–7. Leave overnight for the crimson precipitate to settle. The next day either filter the precipitate and wash well with distilled water or decant and centrifuge, using the same method to wash the precipitate, Finally filter off all liquid and dry in a desiccator. From log book Tim Greening: Mix 10 g brazilwood shavings in a polyester netting bag, large enough to allow the plant material to move freely 5g potash alum and 200ml white (wine) vinegar (enough to cover the brazilwood) allow to soak for 60 minutes and then bring to a boil to make sure the alum dissolves. Remove from the heat, remove the bag and filter hot using folded filters. Keep the solution at 50 C. Have ready some finely ground chalk and add this to the red solution with stirring. No quantities are given in the original 15th Century recipe; the assumption is that what is desired is a thick, soup-like ink. Depending on the presence or absence of vinegar (some versions of this recipe use wine instead) at least 1 g chalk will react with the alum; the more chalk is added, the lighter the colour and the pigment is more substantial in bulk. Some recipies suggest adding about four time the amount of alum used, so in this case about 20 g. Filter and wash the pigment as usual."	1 ml pigment	very course and cristalline (sugar cristals). It is extremely dark.	7	0.2	"intense colour, little translucant "	3	3	2	"texture like dark sugar, crunchy sound, little bit sticky"	5	3	2	3	1	4	clumpy 	4	2	2	1	makes the paint very smooth	much more opaque and creamy. 			Dry				Y. TAH stash empty		
2C6	Brazilwood Light	Made in TAH course with Maarten van Bommel (2018)	-	TAH	"Fahed and Tim separated the decant into two separate batches, which turned into “brazilwood light” and “brazilwood dark” pigment. The brazilwood light pigment was a bright pink, but less desirable a pigment. Some barely stained chalk was discarded during the decant process."	"Brazilwood lake 1 (code: Br-Al-pot): Put 5 g brazilwood shavings (note: wood shavings) in a polyester netting bag and mix it with 150 ml distilled water; bring to the boil slowly and boil gently until the volume of liquid is reduced to about 80–100 ml. Filter off the brownish solution (a Whatman Grade 1 filter paper should be adequate or use folded filters (Whatman 597 ½)), replace on the hot plate and add 3 g potash alum, heating the solution to 50 °C so that it dissolves; the solution will become bright red. Keep the temperature at 50 °C. Add 0.3 M potassium carbonate (K2CO3) solution very gradually to the brazilwood-alum mixture slowly, with stirring, until no further effervescence is observed; the pH should be around 6–7. Leave overnight for the crimson precipitate to settle. The next day either filter the precipitate and wash well with distilled water or decant and centrifuge, using the same method to wash the precipitate, Finally filter off all liquid and dry in a desiccator. From log book Tim Greening: Mix 10 g brazilwood shavings in a polyester netting bag, large enough to allow the plant material to move freely 5g potash alum and 200ml white (wine) vinegar (enough to cover the brazilwood) allow to soak for 60 minutes and then bring to a boil to make sure the alum dissolves. Remove from the heat, remove the bag and filter hot using folded filters. Keep the solution at 50 C. Have ready some finely ground chalk and add this to the red solution with stirring. No quantities are given in the original 15th Century recipe; the assumption is that what is desired is a thick, soup-like ink. Depending on the presence or absence of vinegar (some versions of this recipe use wine instead) at least 1 g chalk will react with the alum; the more chalk is added, the lighter the colour and the pigment is more substantial in bulk. Some recipies suggest adding about four time the amount of alum used, so in this case about 20 g. Filter and wash the pigment as usual."		"it looks flaky, particles in different sizes."	25	1	"intense colour, bright red/pink"	1	1	1	"very smooth, sucked up the oil very fast"	3	1	1	5	1	3		5	4	1	3	"translucency dissapears, less grainy"	"very smooth to paint with, hard to make a thin layer"			Wet	Clumps around gritty pigment  18-08-18: still tacky to the touch. glaze spread undder tape			Y		
3A1	Azurite natural	10200	http://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/21/azurite-natural-standard	TAH / UvA	"Copper hydroxide carbonate, 2CuCO3 Cu(OH)2"	"azurite natural, standard. 0 - 120 µ. "			26	1	"intense rich colour. Pastel midtone blue, really azurite coloured"	4	3	4	coarse	4	4	1	2	3	3	"paint is thick and sticky, hard to paint with. homogenous when applied thick. But not easy to apply thin, it becomes blotchy.   "	4	4	4	1	"mixes well, smoother paint"	"Paint still quite thick, but much easier to apply. Good hiding power, hard to make gradation of thickness "		Painted out: 11-04-2018	Dry	Some wrinkling in the corner		HSI 10207 / C2RMF 10210 natural fine	Y		
3A2	Smalt	10000	http://www.kremer-pigmente.com/de/smalte-standard-10000.html	UvA	"Cobalt potassium silicate glass. Pigment Blue 32, C.I. 77365"	made according to 1820 recipe. 0-120 µ. 			23	1.1	intense colour	3	1	4	"coarse, and feels like sandpaper.  easy to work with (the grinder can be completely ""cleaned""with the palet knife"	1	4	5	1	4	5	"very difficult to paint with. need a lot of paint topaint with, as if its very dry.especially difficult to paint the thin layer."	5	3	3	1	very visible grains (tiny blue dots)	"easier to apply, but still difficult to apply a thin layer. by doing a second layer it becomes more homogenous"		painted out: 11-04-18	Dry	Gritty like fine sand		HSI / C2RMF 10010 (recipe from 1820)	Y		
3A3	Smalt (made from stone)	100005	http://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/1/smalt-in-pieces	TAH			made with oil: which proportions?		30	1.2	intense colour	3	1	1	"easy to grind, and easy to pick up with palet knife"	3	5	5	1	2	5	its like moving around bits of glass (which it is). 	5	3	2	1	particles were visible	MUCH easier to apply		painted out: 17-04-18	Dry	Gritty like fine sand			Y		
3A4	Azurite ground with honey 	Mayerne group 4: Ellen &Laetitia		TAH			"Homemade pigment from the Mayerne manuscript. There was not much pigment, so we used half the usual volume"	pastel blue colour. Fine powder	12	0.5	colour became much darker	3	2	2	"after 5 sec of grinding, you couldn't feel the particles anymore"	3	5	3	4	1	1	"when you make a brushstroke, most of the paint remains at the beginning of the brushstroke"	4	4	3	1		paints very easily. Colour changed to greyish blue. good hiding power. 		painted out: 22-0518	Dry	Smooth layer apart from a few large particles			Y		
3A5	Azurite washed with lye 6th decantation 	Mayerne group3 Laurens&Karina		TAH		"[see Laurens van Giersbergen log book]: •  1 stone of 32.2 g of azurite was taken for grinding • Because it was hard to grind, a hammer was used to smash the stone but some of the pigment was lost. 27.3 g was left • Grinding was done for approx. 10 min, there was still a large polydispersity and quite a few larger particles • The deep blue stone turned into a much paler, greyish-blue powder • The powder was divided into two equal parts of 13.5 g • 5 g per 100 ml solution of potassium bitartrate and potassium carbonate were made for the lye • Because the potassium bitartrate did naot fully dissolve, it was decided to leave it out. It was also found that it made an acidic solution (~pH 4), meaning that it did not actually create an alkaline solution, ie a lye • The potassium carbonate lye was clear and measured to have a pH around 10 • 100 ml potassium carbonate lye was poured on the azurite (still only the 13.5 g) but no green layer appeared as the recipe speaks off (the other part of 13.5 g was saved / not used further) • The pigment looks more saturated when wet from the lye • The solution was decanted after a few minutes and the decanted solution was set aside8 ...[omitted instructions for first 5 decantations] • For the 6th decantation, still quite a lot of yellowish colour tinges, the deepest blue was at the bottom of the vessel. This means that it probably should be left longer before decanting RECOMMENDATION: take more time (few days) to do the whole recipe properly • We spread out some of the azurite on a watch glass on top of a beaker filled with water (a sort of alternative au-bain-marie) and was heated on a hot plate to speed-dry the pigment "	Homemade pigment from the mayerne manuscript. 	"Dried into a hard clump. Colour more pale, and lighter than the other homemade azurite from the Mayerne manuscript (A4)"	20	0.8	colour is a lot more grey than the other homemade azurite from Mayerne manuscript (A4)	5	3	3	Compared to the other mayerne azurite (A4) very different in terms of colour and consistency	3	2	3	3	3	2	"very opaque, "	1	2	5	3		hard to apply thinly. Very strong hiding power		painted out: 22-05-2018	Almost dry but can be scraped off with fingernail	Glossy			N		
3A6	Egyptian blue 	10060	https://shop.kremerpigments.com/en/pigments/kremer-made-and-historic-pigments/4405/egyptian-blue?number=10060_	UvA	copper silicate	"blue copper silicate, < 120 µ"	Not used in 17th C?		25	1.2	translucent but gritty	2	4	1	gritty and required lots of oil	1	4	1		5	5	Paint is extremely gritty. Impasto might just be a gritty clump. 	3	3	1	3	Pigment resists ther lead white: doesn't mix properly. Paint was very fluid.	Very difficult to apply evenly. Very gritty		pained out 06-08-18					Y		
3B1	Lapis lazuli	10510	http://shop.kremerpigments.com/en/pigments/kremer-made-and-historic-pigments/4464/lapis-lazuli-medium-quality	TAH		natural ultramarine		a pale grayish blue powder	26	1	bright dark blue	3	1	3	mixed easily with oil	2	2	2	2	1	1	Difficult to handle because it is sticky to the brush but it doesnt stick to ground layer. And quite translucent. After application no brushstrokes visible anymore	4	5	1	1	"easy to mix, still translucent"	"It mixes, but when you pick up the paint with the brush or palet knife, it seems that the lead white and ultramarine separate again. More opaque with lead white. Hard to apply it thinner or thicker."		painted out: 11-04-18	Dry	Smooth glossy film		HSI 10562 from Chile / C2RMF 10500 greyish-blue / 10530 pure (200 euros per 10g!) / CHS 10510 medium quality	Y		
